Subject,Email Body
reading,bobbywe are very happy that you will be participating in the celebration of our marriage  !   attached is a copy of the we selected for you to read  .   please read it over and if you have any questions you can reach me at 713-853-5933 or zooey at home 713-432-7163 or cell 713-516-8820  .   i understand you won't be in town for the rehearsal so we look forward to seeing you before the wedding  .   i am not sure when we are all meeting up but zooey or i will talk to you on saturday afternoon about the ceremony and when the will take place  .
huglushotguns,"i am interested in purchasing a huglu shotgun and would like to get a price  .   i am looking at the model au1 semi-automatic model  .   please email me with a price and approximate time til delivery (i live in houston)  .   also, please include information on any choices or extras available  ."
dave matthews tickets,"the winner of the 9/15 accidently bid on both pairs of tickets i had for sale (9/15 and 9/16) and only wanted one pair  .   he is buying the 9/16 tickets (11th row) for $345  .   if you are interested in the 9/15 tickets (8th row) which are even better seats, i can sell them to you for $305  .   let me know asap because i am leaving town around 2pm for the weekend  .   you can reach me at work or anytime this weekend on my cell phone  .   if you are interested please call me at 713-853-5933 (work) or 713-516-8820 (cell) and we will work it out  .   fyi - i am also notifying the person who bid $305 and promised to give them first look but otherwise the tickets are your if you want  ."
dave matthews tickets,"the winner of the 9/15 accidently bid on both pairs of tickets i had for sale (9/15 and 9/16) and only wanted one pair  .   he is buying the 9/16 tickets (11th row) for $345  .   if you are interested in the 9/15 tickets (8th row) which are even better seats, i can sell them to you for $305  .   let me know asap because i am leaving town around 2pm for the weekend  .   you can reach me at work or anytime this weekend on my cell phone  .   if you are interested please call me at 713-853-5933 (work) or 713-516-8820 (cell) and we will work it out  .   fyi - i am also notifying the person who bid $300 as well but will give you first look at $305 if you get back to me soon  ."
weather,"i thought you would be interested in the forecast for the wedding  .   the data includes max temp, max temp deviation from normal (ie if max is 88 and normal max is 86 max temp deviation is +2), min temp, min temp deviation from normal and percent of precipitation  .   so far things are looking good  .   we are getting a cold front this weekend (hitting texas on monday) and looks like things should be beautiful for next weekend  .   i wouldn't be that worried about the rain either - the reason the pop is so high right now is tropical moisture in the gulf of mexico and that will blow through this weekend  .   after that the tropics settle down and it is much less likely to get tropical moisture  .  city forecast date max temp max temp deviation min temp min temp deviation pop (%)houston 09/20/00 91 3 70 3 53houston 09/21/00 86 -1 72 5 52houston 09/22/00 91 4 67 1 57houston 09/23/00 93 6 74 8 52houston 09/24/00 83 -4 67 1 55houston 09/25/00 80 -7 59 -6 27houston 09/26/00 82 -4 58 -7 7houston 09/27/00 86 0 61 -4 14houston 09/28/00 86 0 62 -2 26houston 09/29/00 85 -1 64 0 16houston 09/30/00 86 0 62 -1 16houston 10/01/00 86 1 64 1 20"
data integrity,",i am supposed to follow up and work on our action plan for   .   however, i know that you are going to meet with david/robert on the whole concept and that you proposed a work around for the near term after our sessions  .   it appears as if our action plans will depend on the results of that meeting  .   i will be out of the office on wed-friday on business  .   it looks like our action plan revisions are due on friday (but, if necessary, i'll ask for an extension because of my travel)  .   in the meantime, you can meet with david/robert and begin to look at revamping our prior efforts  .  alternatively, you can reconvene the group and work on revising action plans without me  .   (i am not sure how helpful i am in any event)  .   what do you think ps, do we need to include don in our group"
pleasanton / tri valley labor issue,", it sounds like this may satisfy cure, but i question whether this is an appropriate payment  .   i would want to touch base with the lawyers working on the deal to find out if there are any implications  .   any other feedback    enron09/05/2000 09 16 pm"
contracting solutions,",i will defer to your expertise on whether we should actively accept resumes from cs at this time  .   i think the way to couch it is that we do not want to receive them at this time, but that they are free to check with us in a couple of months to see whether that has changed  .   that way, we aren't making it an absolute ban  ."
anthony cirino,"dear gerald,i received and reviewed your email, and i will check with my clients on your proposal  .   i expect that i will have an answer later this week  .  i understand that my assistant has sent you the documents by email  .   let me know if you did not receive them  .  feel free to give me a call to discuss  ."
code of ethics/copyright question,"hello  !  an ena employee wrote a book that was published in russia  .   there have been three editions, and the publisher wants her to do a 4th  .   the topic is technical analysis, which is what she does here at enron  .   in this 4th edition, she will be using public data, her own pc, and working on her own time  .   however, given that she has been at enron for 6 months, she obviously would apply some of the knowledge she has gained here in the revision of the book  .   she would not divulge any enron confidential or proprietary information, however  .  what are your thoughts on whether she could be able to do this she is willing to let enron be a co-author, although as a practical matter, i do not think that would be worthwhile  .   my opinion at this point is that she can do it, so long as it is on her own time and using her own resources, and, of course, provided that she reveals no enron-specific information  .   i welcome your perspective, however, given that this is a new one to me  ."
